trial,patient_dims,patient_deff,observer_dims,dim_ratio,sync_error,stability
12,100,14.934722129052147,50,0.5,0.0007823698157836123,0.9992176301842164
12,100,14.934722129052147,70,0.7,0.000287517694811501,0.9997124823051885
12,100,14.934722129052147,100,1.0,2.220446049250313e-16,0.9999999999999998
13,100,16.27219241417658,5,0.05,0.5699362890413741,0.43006371095862594
13,100,16.27219241417658,10,0.1,0.289063962173031,0.710936037826969
13,100,16.27219241417658,20,0.2,0.032690089080904094,0.9673099109190959
13,100,16.27219241417658,30,0.3,0.0030185995255943565,0.9969814004744056
13,100,16.27219241417658,50,0.5,0.0008011786427585266,0.9991988213572415
13,100,16.27219241417658,70,0.7,0.00029392391535254525,0.9997060760846475
13,100,16.27219241417658,100,1.0,2.220446049250313e-16,0.9999999999999998
14,100,16.12760777598312,5,0.05,0.5675915826574411,0.43240841734255886
14,100,16.12760777598312,10,0.1,0.32410611477901574,0.6758938852209843
14,100,16.12760777598312,20,0.2,0.06423383057035481,0.9357661694296452
14,100,16.12760777598312,30,0.3,0.0028083872523299025,0.9971916127476701
14,100,16.12760777598312,50,0.5,0.0008109622565770636,0.9991890377434229
14,100,16.12760777598312,70,0.7,0.0002959440519568757,0.9997040559480431
14,100,16.12760777598312,100,1.0,0.0,1.0
15,100,15.891434740441511,5,0.05,0.5541093370041774,0.4458906629958226
15,100,15.891434740441511,10,0.1,0.28754036410592876,0.7124596358940712
15,100,15.891434740441511,20,0.2,0.03986445097317792,0.9601355490268221
15,100,15.891434740441511,30,0.3,0.0026070785085955395,0.9973929214914045
15,100,15.891434740441511,50,0.5,0.0007877079740996606,0.9992122920259003
15,100,15.891434740441511,70,0.7,0.0002929229197115024,0.9997070770802885
15,100,15.891434740441511,100,1.0,0.0,1.0
16,100,17.87140370124935,5,0.05,0.5981526766554113,0.4018473233445887
16,100,17.87140370124935,10,0.1,0.3333633049075009,0.6666366950924991
16,100,17.87140370124935,20,0.2,0.06324201759108872,0.9367579824089113
16,100,17.87140370124935,30,0.3,0.0030459151261638118,0.9969540848738362
16,100,17.87140370124935,50,0.5,0.0008481658959513805,0.9991518341040486
16,100,17.87140370124935,70,0.7,0.0003006203858421097,0.9996993796141579
16,100,17.87140370124935,100,1.0,-2.220446049250313e-16,1.0000000000000002
17,100,15.03148098419261,5,0.05,0.5380342148732944,0.4619657851267056
17,100,15.03148098419261,10,0.1,0.2549624886026657,0.7450375113973343
17,100,15.03148098419261,20,0.2,0.026617172368171738,0.9733828276318283
17,100,15.03148098419261,30,0.3,0.002865202406055145,0.9971347975939449
